billing_account_id,service.id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,project.number,project.name,project.labels.key,project.labels.value,project.ancestry_numbers,project.ancestors.resource_name,project.ancestors.display_name,labels.key,labels.value,system_labels.key,system_labels.value,location.location,location.country,location.region,location.zone,tags.key,tags.value,tags.inherited,tags.namespace,price.effective_price,price.tier_start_amount,price.unit,price.pricing_unit_quantity,price.list_price,price.effective_price_default,price.list_price_consumption_model,transaction_type,seller_name,export_time,cost,currency,currency_conversion_rate,usage.amount,usage.unit,usage.amount_in_pricing_units,usage.pricing_unit,credits.name,credits.amount,credits.full_name,credits.id,credits.type,invoice.month,invoice.publisher_type,cost_type,adjustment_info.id,adjustment_info.description,adjustment_info.mode,adjustment_info.type,cost_at_list,cost_at_effective_price_default,cost_at_list_consumption_model,consumption_model.id,consumption_model.description
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 01:00:00 UTC,2025-07-10 02:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 12:14:42.237687 UTC,0.002540,KRW,1354.595000,10599.000000,bytes,0.000010,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.002540,0.002540,0.002540,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 03:00:00 UTC,2025-07-10 04:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 13:18:05.771684 UTC,0.001697,KRW,1354.595000,7080.000000,bytes,0.000007,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.001697,0.001697,0.001697,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 13:00:00 UTC,2025-07-10 14:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 22:53:14.947687 UTC,0.000020,KRW,1354.595000,86.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000020,0.000020,0.000020,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 10:00:00 UTC,2025-07-10 11:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 21:10:39.415018 UTC,0.000523,KRW,1354.595000,2184.000000,bytes,0.000002,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000523,0.000523,0.000523,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 09:00:00 UTC,2025-07-10 10:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 19:10:09.865409 UTC,0.001293,KRW,1354.595000,5397.000000,bytes,0.000005,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.001293,0.001293,0.001293,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 21:00:00 UTC,2025-07-09 22:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 07:16:35.786846 UTC,0.000121,KRW,1354.595000,508.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000121,0.000121,0.000121,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 16:00:00 UTC,2025-07-09 17:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 05:47:06.07244 UTC,0.000684,KRW,1354.595000,2856.000000,bytes,0.000003,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000684,0.000684,0.000684,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 11:00:00 UTC,2025-07-09 12:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 00:11:04.210856 UTC,0.000019,KRW,1354.595000,80.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000019,0.000019,0.000019,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,6E69-DD68-8DCA,Storage PD Snapshot in Asia,2025-07-10 12:00:00 UTC,2025-07-10 13:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,,,,,asia,SG,,,,,,,112.431385039,0.000000,gibibyte month,1.000000,112.431385039,112.431385039,112.431385039,GOOGLE,Google,2025-07-10 22:23:26.948956 UTC,0.027509,KRW,1354.595000,703663125221.000000,byte-seconds,0.000245,gibibyte month,,,,,,202507,GOOGLE,regular,,,,,0.027509,0.027509,0.027509,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,6E69-DD68-8DCA,Storage PD Snapshot in Asia,2025-07-10 02:00:00 UTC,2025-07-10 03:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,,,,,asia,SG,,,,,,,112.431385039,0.000000,gibibyte month,1.000000,112.431385039,112.431385039,112.431385039,GOOGLE,Google,2025-07-10 12:14:42.237687 UTC,0.036499,KRW,1354.595000,933631241766.000000,byte-seconds,0.000325,gibibyte month,,,,,,202507,GOOGLE,regular,,,,,0.036499,0.036499,0.036499,7754-699E-0EBF,Default
